epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.574,0.1839,2.38085,0.96942,0.21328,0.69921,0.29524,0.28911,0.29094,1.51288,0.43955,0.0033271,0.0033271,0.0033271
2,275.395,0.15736,1.66476,0.92167,0.36147,0.65236,0.43194,0.36706,0.46949,1.46615,0.46518,0.00660549,0.00660549,0.00660549
3,404.341,0.17723,1.51579,0.92517,0.22231,0.674,0.27576,0.26969,0.29213,1.47879,0.48002,0.00982887,0.00982887,0.00982887
4,532.7,0.15854,1.44968,0.92047,0.35965,0.66324,0.45241,0.43399,0.31214,1.28134,0.46716,0.0097525,0.0097525,0.0097525
5,661.311,0.12827,1.37149,0.90673,0.37762,0.65687,0.44969,0.44556,0.29201,1.34758,0.48028,0.00967,0.00967,0.00967
6,790.276,0.11228,1.34596,0.90236,0.45801,0.50362,0.43349,0.41978,0.28088,1.40883,0.45941,0.0095875,0.0095875,0.0095875
7,910.901,0.10121,1.31117,0.89864,0.41979,0.68447,0.54127,0.50533,0.32272,1.20292,0.46831,0.009505,0.009505,0.009505
8,1031.41,inf,1.29607,0.89703,0.4739,0.66663,0.58865,0.57185,0.25896,1.13277,0.42012,0.0094225,0.0094225,0.0094225
9,1151.92,0.08747,1.27294,0.89536,0.50697,0.6569,0.58871,0.57351,0.3164,1.14322,0.46021,0.00934,0.00934,0.00934
10,1272.13,0.08207,1.26123,0.89426,0.50102,0.64411,0.59147,0.57779,0.28077,1.20464,0.43579,0.0092575,0.0092575,0.0092575
11,1392.46,0.07755,1.24481,0.89336,0.56482,0.67084,0.64568,0.64442,0.23308,1.02243,0.39056,0.009175,0.009175,0.009175
12,1512.81,0.0745,1.23132,0.89111,0.55808,0.659,0.64079,0.64006,0.22822,1.04935,0.41212,0.0090925,0.0090925,0.0090925
13,1632.67,0.07202,1.21972,0.89104,0.54965,0.66828,0.63859,0.6381,0.22974,1.0103,0.40552,0.00901,0.00901,0.00901
14,1760.19,0.0688,1.21135,0.89212,0.60828,0.68374,0.6931,0.69252,0.24499,0.98953,0.41328,0.0089275,0.0089275,0.0089275
15,1888.32,0.06856,1.19962,0.88925,0.59084,0.68273,0.68019,0.68009,0.18555,0.95059,0.35821,0.008845,0.008845,0.008845
16,2012.32,0.06527,1.19503,0.89108,0.60924,0.69017,0.69153,0.6911,0.21383,0.96228,0.38285,0.0087625,0.0087625,0.0087625
17,2132.37,0.06392,1.18064,0.89,0.62814,0.70121,0.72146,0.7213,0.20243,0.93376,0.38044,0.00868,0.00868,0.00868
18,2252.77,0.06327,1.17759,0.88819,0.63715,0.6896,0.71966,0.7194,0.19943,0.8966,0.37122,0.0085975,0.0085975,0.0085975
19,2372.9,0.06211,1.16437,0.89062,0.64425,0.70978,0.73374,0.73368,0.22515,0.90491,0.39925,0.008515,0.008515,0.008515
20,2492.76,0.06428,1.16301,0.88511,0.64724,0.71254,0.73908,0.73083,0.27605,0.91188,0.35422,0.0084325,0.0084325,0.0084325
21,2613.46,0.06591,1.16293,0.88492,0.64733,0.72505,0.7503,0.74411,0.27221,0.91883,0.34884,0.00835,0.00835,0.00835
22,2734.02,0.06398,1.15069,0.88535,0.65923,0.71896,0.76088,0.75216,0.26406,0.90228,0.34751,0.0082675,0.0082675,0.0082675
23,2854.36,0.06176,1.14277,0.88507,0.66306,0.7262,0.7611,0.75599,0.25518,0.89076,0.34252,0.008185,0.008185,0.008185
24,2974.84,0.06028,1.14262,0.88381,0.67051,0.71931,0.75912,0.75407,0.25014,0.89286,0.33844,0.0081025,0.0081025,0.0081025
25,3095.17,0.06041,1.13716,0.88594,0.67412,0.72805,0.77013,0.7655,0.25105,0.87263,0.33522,0.00802,0.00802,0.00802
26,3215.39,0.05929,1.13357,0.88505,0.6901,0.7266,0.77745,0.77726,0.15199,0.77765,0.33414,0.0079375,0.0079375,0.0079375
27,3335.94,inf,1.12816,0.8858,0.687,0.73049,0.7775,0.77381,0.23709,0.74155,0.39033,0.007855,0.007855,0.007855
28,3456.41,0.06208,1.12444,0.88294,0.67522,0.74122,0.78046,0.77631,0.33541,0.80594,0.38349,0.0077725,0.0077725,0.0077725
29,3576.62,0.05939,1.11553,0.88372,0.68067,0.75822,0.78923,0.78779,0.25616,0.82619,0.34456,0.00769,0.00769,0.00769
30,3697.07,0.05695,1.10802,0.88482,0.68614,0.74077,0.78564,0.78482,0.25161,0.83547,0.33531,0.0076075,0.0076075,0.0076075
31,3817.47,0.05541,1.11228,0.88536,0.69585,0.74095,0.78982,0.78912,0.25623,0.84795,0.34169,0.007525,0.007525,0.007525
32,3937.87,0.05735,1.1091,0.88312,0.68349,0.75712,0.79673,0.79565,0.28622,0.80123,0.36276,0.0074425,0.0074425,0.0074425
33,4058.22,0.0567,1.10182,0.88404,0.69728,0.75696,0.79661,0.79534,0.28686,0.80498,0.36499,0.00736,0.00736,0.00736
34,4178.7,0.05619,1.09698,0.88307,0.72043,0.73305,0.80113,0.80013,0.25683,0.8134,0.33647,0.0072775,0.0072775,0.0072775
35,4299.01,0.05391,1.09343,0.88258,0.70861,0.75345,0.80412,0.80336,0.26209,0.82507,0.34015,0.007195,0.007195,0.007195
36,4419.43,0.05334,1.09178,0.88439,0.68784,0.76914,0.80252,0.80195,0.25069,0.8228,0.33252,0.0071125,0.0071125,0.0071125
37,4539.84,0.05299,1.08791,0.88388,0.71181,0.75301,0.80936,0.80885,0.25006,0.82401,0.33765,0.00703,0.00703,0.00703
38,4660.11,0.05236,1.07936,0.88313,0.71827,0.74706,0.80894,0.80854,0.24582,0.81377,0.33221,0.0069475,0.0069475,0.0069475
39,4780.32,0.05217,1.08319,0.88374,0.71523,0.75141,0.80895,0.80858,0.24652,0.81992,0.33501,0.006865,0.006865,0.006865
40,4900.12,0.05251,1.08113,0.88296,0.71462,0.76093,0.8123,0.81195,0.24545,0.81328,0.33434,0.0067825,0.0067825,0.0067825
41,5020.43,0.05116,1.07469,0.88409,0.72109,0.75056,0.81445,0.81382,0.24616,0.81168,0.33413,0.0067,0.0067,0.0067
42,5140.7,0.0511,1.06851,0.88322,0.7277,0.74794,0.81719,0.8166,0.24351,0.80559,0.33149,0.0066175,0.0066175,0.0066175
43,5260.55,0.04929,1.067,0.88312,0.70906,0.77719,0.81936,0.81881,0.24145,0.80257,0.32788,0.006535,0.006535,0.006535
44,5380.73,0.04945,1.06383,0.88312,0.72535,0.75458,0.82014,0.81971,0.24093,0.8003,0.32788,0.0064525,0.0064525,0.0064525
45,5500.97,0.04914,1.06127,0.8829,0.72776,0.75233,0.81907,0.81863,0.24259,0.80094,0.32875,0.00637,0.00637,0.00637
46,5620.85,0.04903,1.05924,0.88262,0.73215,0.74942,0.82098,0.82065,0.24373,0.79762,0.32909,0.0062875,0.0062875,0.0062875
47,5741.22,0.05168,1.05427,0.88205,0.73704,0.74792,0.82295,0.82263,0.24278,0.79387,0.32874,0.006205,0.006205,0.006205
48,5863.36,0.05096,1.05398,0.884,0.74994,0.74014,0.82406,0.82361,0.24552,0.79355,0.33076,0.0061225,0.0061225,0.0061225
49,5991.69,0.04976,1.04924,0.88232,0.74726,0.74616,0.82537,0.82487,0.24457,0.79501,0.32773,0.00604,0.00604,0.00604
50,6120.7,0.05106,1.04731,0.88116,0.73801,0.75764,0.8269,0.82639,0.24701,0.79314,0.33107,0.0059575,0.0059575,0.0059575
51,6249,0.04971,1.04575,0.88253,0.75059,0.75079,0.82733,0.82688,0.2447,0.79067,0.33116,0.005875,0.005875,0.005875
52,6371.47,0.04834,1.04054,0.88044,0.74699,0.75012,0.82721,0.82673,0.24712,0.79128,0.33363,0.0057925,0.0057925,0.0057925
53,6491.68,0.05009,1.04625,0.88299,0.74264,0.75657,0.82801,0.82775,0.24548,0.78749,0.33191,0.00571,0.00571,0.00571
54,6611.94,0.04911,1.03621,0.88103,0.75458,0.74928,0.82903,0.82883,0.24063,0.78292,0.3275,0.0056275,0.0056275,0.0056275
55,6732.18,0.04708,1.03511,0.88325,0.75796,0.75004,0.82979,0.82962,0.238,0.78085,0.32511,0.005545,0.005545,0.005545
56,6852.34,0.04737,1.03113,0.88335,0.75449,0.75188,0.83008,0.82988,0.23795,0.78072,0.32484,0.0054625,0.0054625,0.0054625
57,6972.77,0.04777,1.03278,0.88237,0.75308,0.75494,0.83027,0.83012,0.23793,0.78084,0.32384,0.00538,0.00538,0.00538
58,7092.93,0.04749,1.032,0.88436,0.75119,0.75499,0.83029,0.83016,0.23663,0.78231,0.3222,0.0052975,0.0052975,0.0052975
59,7213.52,0.04628,1.02643,0.88424,0.74621,0.75995,0.83104,0.83095,0.23536,0.78267,0.3234,0.005215,0.005215,0.005215
60,7333.74,0.04396,1.02219,0.88529,0.74697,0.76048,0.8316,0.83156,0.21883,0.77053,0.32451,0.0051325,0.0051325,0.0051325
61,7453.82,inf,1.01716,0.88544,0.74143,0.76568,0.83207,0.83206,0.20195,0.75562,0.32781,0.00505,0.00505,0.00505
62,7574.09,0.04468,1.01667,0.88256,0.73885,0.77271,0.83245,0.83242,0.21746,0.76813,0.32769,0.0049675,0.0049675,0.0049675
63,7694,inf,1.01912,0.88638,0.74367,0.76845,0.83267,0.83264,0.2125,0.76113,0.33021,0.004885,0.004885,0.004885
64,7813.92,inf,1.01532,0.88479,0.7442,0.76847,0.83325,0.83324,0.18704,0.73627,0.33359,0.0048025,0.0048025,0.0048025
65,7933.93,inf,1.00676,0.88481,0.74295,0.76803,0.83373,0.83373,0.16934,0.71869,0.33458,0.00472,0.00472,0.00472
66,8054.22,0.04571,1.00824,0.88358,0.75072,0.76269,0.83395,0.83395,0.16517,0.71242,0.33569,0.0046375,0.0046375,0.0046375
67,8174.42,0.04381,1.01187,0.88669,0.74683,0.76842,0.83395,0.83395,0.16455,0.711,0.33692,0.004555,0.004555,0.004555
68,8294.7,0.04339,1.00341,0.88631,0.74531,0.76919,0.83409,0.83409,0.16333,0.7091,0.33744,0.0044725,0.0044725,0.0044725
69,8414.99,0.04164,0.99566,0.88636,0.74804,0.76572,0.83433,0.83433,0.16279,0.71004,0.33699,0.00439,0.00439,0.00439
70,8534.81,0.041,0.99702,0.88603,0.74554,0.77063,0.83464,0.83463,0.16211,0.71074,0.33613,0.0043075,0.0043075,0.0043075
71,8655.29,0.04039,0.98951,0.88518,0.74462,0.76985,0.8346,0.83459,0.16218,0.7125,0.3349,0.004225,0.004225,0.004225
72,8775.4,0.04049,0.9976,0.88579,0.7495,0.76486,0.83471,0.8347,0.16204,0.71397,0.33387,0.0041425,0.0041425,0.0041425
73,8895.31,0.04024,0.98646,0.88548,0.75008,0.76441,0.8347,0.8347,0.16296,0.71721,0.33284,0.00406,0.00406,0.00406
74,9015.58,inf,0.98438,0.88489,0.74937,0.764,0.83467,0.83467,0.16972,0.72736,0.33201,0.0039775,0.0039775,0.0039775
75,9135.51,0.03954,0.97717,0.88381,0.75068,0.76371,0.83461,0.83461,0.18101,0.74335,0.3309,0.003895,0.003895,0.003895
